"session_i","session_j","run_i","run_j","component","PLV"
1,15,1,1,1,0.0957283112919526
1,15,1,2,1,0.165642518491108
1,15,2,1,1,0.203425025781418
1,15,2,2,1,0.080713796702089
1,16,1,1,1,0.242145814368798
1,16,1,2,1,0.0794170045726226
1,16,2,1,1,0.0754734925991464
1,16,2,2,1,0.0630780027264702
1,17,1,1,1,0.0367763384025336
1,17,1,2,1,0.285358176050255
1,17,2,1,1,0.238346798668462
1,17,2,2,1,0.0621990525971547
1,18,1,1,1,0.178781125976383
1,18,1,2,1,0.253629090044986
1,18,2,1,1,0.0960237887302751
1,18,2,2,1,0.0673289099563551
1,19,1,1,1,0.181737571484836
1,19,1,2,1,0.176092689180526
1,19,2,1,1,0.0618330190967974
1,19,2,2,1,0.116335676279321
2,1,1,1,1,0.0598781827786625
2,1,1,2,1,0.108531640384013
2,1,2,1,1,0.0627007069004497
2,1,2,2,1,0.192367643397724
2,2,1,1,1,0.238213081834216
2,2,1,2,1,0.215836754172061
2,2,2,1,1,0.117083221883524
2,2,2,2,1,0.0784051262980934
2,3,1,1,1,0.130771178021694
2,3,1,2,1,0.0858319990309676
2,3,2,1,1,0.46107362715137
2,3,2,2,1,0.310026875768003
2,4,1,1,1,0.14029527228381
2,4,1,2,1,0.251860167361733
2,4,2,1,1,0.0578198599618216
2,4,2,2,1,0.304032107042487
2,5,1,1,1,0.221413225980998
2,5,1,2,1,0.289815706894027
2,5,2,1,1,0.187703462161137
2,5,2,2,1,0.318989499941093
2,6,1,1,1,0.366327773874021
2,6,1,2,1,0.12642665414378
2,6,2,1,1,0.223908777712383
2,6,2,2,1,0.22718980592731
2,7,1,1,1,0.277010709640206
2,7,1,2,1,0.322365466675345
2,7,2,1,1,0.218194683314478
2,7,2,2,1,0.103799724453457
2,8,1,1,1,0.106656416582229
2,8,1,2,1,0.141545838430244
2,8,2,1,1,0.225267281908991
2,8,2,2,1,0.136782644450122
2,9,1,1,1,0.0526927662108678
2,9,1,2,1,0.0939196984133337
2,9,2,1,1,0.0250161872869654
2,9,2,2,1,0.212714628945199
2,10,1,1,1,0.254151802792841
2,10,1,2,1,0.148270270821376
2,10,2,1,1,0.205826885184257
2,10,2,2,1,0.0940053512640556
2,11,1,1,1,0.134535800661978
2,11,1,2,1,0.171068114378945
2,11,2,1,1,0.316643167099927
2,11,2,2,1,0.13985621489327
2,12,1,1,1,0.139938153623184
2,12,1,2,1,0.0691661963377938
2,12,2,1,1,0.181334054103103
2,12,2,2,1,0.125146023560827
2,13,1,1,1,0.225206853890273
2,13,1,2,1,0.350273842059308
2,13,2,1,1,0.170155348683017
2,13,2,2,1,0.148606285154192
2,14,1,1,1,0.300680494469642
2,14,1,2,1,0.24580485057165
2,14,2,1,1,0.0758473494246819
2,14,2,2,1,0.483674443323282
2,15,1,1,1,0.0800576892814496
2,15,1,2,1,0.231310526169178
2,15,2,1,1,0.204155437526299
2,15,2,2,1,0.0982614852251799
2,16,1,1,1,0.244464870184954
2,16,1,2,1,0.083133198871772
2,16,2,1,1,0.140283534196433
2,16,2,2,1,0.0356837599866973
2,17,1,1,1,0.0608034346878225
2,17,1,2,1,0.327845880498745
2,17,2,1,1,0.0674716669896016
2,17,2,2,1,0.225208987288129
2,18,1,1,1,0.124632833964401
2,18,1,2,1,0.358051118518947
2,18,2,1,1,0.235979704013874
2,18,2,2,1,0.314109726125807
2,19,1,1,1,0.209748276010078
2,19,1,2,1,0.133576048305373
2,19,2,1,1,0.144100563354308
2,19,2,2,1,0.0610572481206111
3,1,1,1,1,0.0869278823139335
3,1,1,2,1,0.0799703484593412
3,1,2,1,1,0.173330741477463
3,1,2,2,1,0.051068383732726
3,2,1,1,1,0.153639052429802
3,2,1,2,1,0.140716208092356
3,2,2,1,1,0.278220043112776
3,2,2,2,1,0.167399897461915
3,3,1,1,1,0.244492171623954
3,3,1,2,1,0.127947144236415
3,3,2,1,1,0.288243707655965
3,3,2,2,1,0.273914670082392
3,4,1,1,1,0.196445624875055
3,4,1,2,1,0.359914826940316
3,4,2,1,1,0.205989769832749
3,4,2,2,1,0.185038085016733
3,5,1,1,1,0.227445746059535
3,5,1,2,1,0.0470954895528801
3,5,2,1,1,0.2092624755314
3,5,2,2,1,0.169258593186866
3,6,1,1,1,0.105158464694783
3,6,1,2,1,0.0879260601244394
3,6,2,1,1,0.174611722597987
3,6,2,2,1,0.174008752608054
3,7,1,1,1,0.127908053690044
3,7,1,2,1,0.395369087637857
3,7,2,1,1,0.086631231119721
3,7,2,2,1,0.331269023653225
3,8,1,1,1,0.128047851148909
3,8,1,2,1,0.248690206130464
3,8,2,1,1,0.16889843983015
3,8,2,2,1,0.14555443324935
3,9,1,1,1,0.110426477823342
3,9,1,2,1,0.145418275759437
3,9,2,1,1,0.354155506529421
3,9,2,2,1,0.146226335371852
3,10,1,1,1,0.336316683399581
3,10,1,2,1,0.107692600498815
3,10,2,1,1,0.255469532527764
3,10,2,2,1,0.168248490828362
3,11,1,1,1,0.164291050515416
3,11,1,2,1,0.176999734926177
3,11,2,1,1,0.20326139215002
3,11,2,2,1,0.0291630728683619
3,12,1,1,1,0.147665727950214
3,12,1,2,1,0.0871350855647317
3,12,2,1,1,0.0428061809717992
3,12,2,2,1,0.135556062556756
3,13,1,1,1,0.106972597654196
3,13,1,2,1,0.0601280443497164
3,13,2,1,1,0.0802987490330321
3,13,2,2,1,0.291422206498263
3,14,1,1,1,0.233237348194147
3,14,1,2,1,0.348212127099283
3,14,2,1,1,0.269755065888754
3,14,2,2,1,0.241354915047181
3,15,1,1,1,0.229510550047399
3,15,1,2,1,0.163310027751455
3,15,2,1,1,0.257946111802919
3,15,2,2,1,0.124085604740739
3,16,1,1,1,0.22979052024619
3,16,1,2,1,0.0736115510796672
3,16,2,1,1,0.128118077168226
3,16,2,2,1,0.106149671747797
3,17,1,1,1,0.214443104263208
3,17,1,2,1,0.297866974880178
3,17,2,1,1,0.0220330558079464
3,17,2,2,1,0.130011548328307
3,18,1,1,1,0.156697858922503
3,18,1,2,1,0.089616121449919
3,18,2,1,1,0.15146048943471
3,18,2,2,1,0.244312954123201
3,19,1,1,1,0.318101671246221
3,19,1,2,1,0.282618852881704
3,19,2,1,1,0.19462614399816
3,19,2,2,1,0.1077717083209
4,1,1,1,1,0.152981072554931
4,1,1,2,1,0.0243516377463262
4,1,2,1,1,0.149610818339518
4,1,2,2,1,0.103295264770219
4,2,1,1,1,0.0883176737136233
4,2,1,2,1,0.136737186997303
4,2,2,1,1,0.179200738854699
4,2,2,2,1,0.0952289238745254
4,3,1,1,1,0.254360843289604
4,3,1,2,1,0.147341389442171
4,3,2,1,1,0.173989135687326
4,3,2,2,1,0.22198954531072
4,4,1,1,1,0.122611589236722
4,4,1,2,1,0.315846466481128
4,4,2,1,1,0.0190199080855428
4,4,2,2,1,0.315957394941533
4,5,1,1,1,0.219450414747697
4,5,1,2,1,0.0780031252087505
4,5,2,1,1,0.333597854190543
4,5,2,2,1,0.160369731559724
4,6,1,1,1,0.0344987525594972
4,6,1,2,1,0.0826458890642984
4,6,2,1,1,0.10986623863653
4,6,2,2,1,0.130891639745463
4,7,1,1,1,0.0529660098091378
4,7,1,2,1,0.297771490220381
4,7,2,1,1,0.0467716526664736
4,7,2,2,1,0.234406851494129
4,8,1,1,1,0.118730306559722
4,8,1,2,1,0.190235950812135
4,8,2,1,1,0.0233996140015391
4,8,2,2,1,0.308723340950578
4,9,1,1,1,0.172473063927171
4,9,1,2,1,0.257051148149557
4,9,2,1,1,0.254472441539577
4,9,2,2,1,0.264971465910796
4,10,1,1,1,0.321154091160265
4,10,1,2,1,0.0897789302432162
4,10,2,1,1,0.223933457251154
4,10,2,2,1,0.0730841718285368
4,11,1,1,1,0.186868075572411
4,11,1,2,1,0.252494052145176
4,11,2,1,1,0.166996906531085
4,11,2,2,1,0.215328754535908
4,12,1,1,1,0.122176512716169
4,12,1,2,1,0.18147260827456
4,12,2,1,1,0.118297661557193
4,12,2,2,1,0.0755071487354607
4,13,1,1,1,0.0398452654356544
4,13,1,2,1,0.0803482883236244
4,13,2,1,1,0.0877052416082149
4,13,2,2,1,0.185412265978591
4,14,1,1,1,0.164675360301903
4,14,1,2,1,0.338080420078467
4,14,2,1,1,0.126282929414017
4,14,2,2,1,0.174808902775796
4,15,1,1,1,0.227819831973985
4,15,1,2,1,0.0877895975580735
4,15,2,1,1,0.100887427200591
4,15,2,2,1,0.226781116990435
4,16,1,1,1,0.266438123207362
4,16,1,2,1,0.0579948716590981
4,16,2,1,1,0.258552188618925
4,16,2,2,1,0.0729550404417855
4,17,1,1,1,0.232206988302
4,17,1,2,1,0.23765781586715
4,17,2,1,1,0.367515621073297
4,17,2,2,1,0.216739657944322
4,18,1,1,1,0.0193135929858291
4,18,1,2,1,0.174083629315291
4,18,2,1,1,0.121477650026679
4,18,2,2,1,0.0365194591924917
4,19,1,1,1,0.345071209406332
4,19,1,2,1,0.262553934741035
4,19,2,1,1,0.310914945180357
4,19,2,2,1,0.189253652385234
5,1,1,1,1,0.0790867200530967
5,1,1,2,1,0.157307910018742
5,1,2,1,1,0.141720678038788
5,1,2,2,1,0.165626052354782
5,2,1,1,1,0.17609449965653
5,2,1,2,1,0.101238850056138
5,2,2,1,1,0.11007525737696
5,2,2,2,1,0.0572139125144339
5,3,1,1,1,0.211073576931322
5,3,1,2,1,0.15161900596856
5,3,2,1,1,0.319052380545666
5,3,2,2,1,0.290479291248252
5,4,1,1,1,0.118732907435041
5,4,1,2,1,0.283255999927996
5,4,2,1,1,0.0706084056381965
5,4,2,2,1,0.20528179230625
5,5,1,1,1,0.0216165027778584
5,5,1,2,1,0.286420219169242
5,5,2,1,1,0.227162190095424
5,5,2,2,1,0.369534490467535
5,6,1,1,1,0.293020892561861
5,6,1,2,1,0.179249359408098
5,6,2,1,1,0.215786403650281
5,6,2,2,1,0.23343479579381
5,7,1,1,1,0.287543794839091
5,7,1,2,1,0.240645825649993
5,7,2,1,1,0.225861462473396
5,7,2,2,1,0.0905992589100758
5,8,1,1,1,0.201644520708893
5,8,1,2,1,0.229557562237484
5,8,2,1,1,0.238979830308422
5,8,2,2,1,0.0680569593968732
5,9,1,1,1,0.026207457626002
5,9,1,2,1,0.103441311554882
5,9,2,1,1,0.0750345939796091
5,9,2,2,1,0.0989304722673852
5,10,1,1,1,0.0981924297375049
5,10,1,2,1,0.160337704770672
5,10,2,1,1,0.180744617796246
5,10,2,2,1,0.208010545230759
5,11,1,1,1,0.123834172848324
5,11,1,2,1,0.201788453111738
5,11,2,1,1,0.374329557639472
5,11,2,2,1,0.149047162334372
5,12,1,1,1,0.13835260183409
5,12,1,2,1,0.18961810598445
5,12,2,1,1,0.0429748721865472
5,12,2,2,1,0.0659398327265989
5,13,1,1,1,0.270534195200457
5,13,1,2,1,0.214178845073638
5,13,2,1,1,0.19466472757238
5,13,2,2,1,0.217212471907783
5,14,1,1,1,0.195028397064927
5,14,1,2,1,0.445453639834081
5,14,2,1,1,0.105280817689854
5,14,2,2,1,0.336622997220398
5,15,1,1,1,0.0591674543330357
5,15,1,2,1,0.132433947384015
5,15,2,1,1,0.243336987445346
5,15,2,2,1,0.0996736274524111
5,16,1,1,1,0.181840150595467
5,16,1,2,1,0.103757722483745
5,16,2,1,1,0.228840735804435
5,16,2,2,1,0.0422379022372102
5,17,1,1,1,0.0752261834132946
5,17,1,2,1,0.314746866005591
5,17,2,1,1,0.0935784806459573
5,17,2,2,1,0.100705449362414
5,18,1,1,1,0.0840889022924499
5,18,1,2,1,0.351596744440026
5,18,2,1,1,0.425456377176295
5,18,2,2,1,0.210044520343798
5,19,1,1,1,0.197647317136137
5,19,1,2,1,0.163120097674706
5,19,2,1,1,0.0835572950297536
5,19,2,2,1,0.192849660281578
6,1,1,1,1,0.121719459185594
6,1,1,2,1,0.126740958753344
6,1,2,1,1,0.149301213310029
6,1,2,2,1,0.1359796294408
6,2,1,1,1,0.138493566534457
6,2,1,2,1,0.205221875483637
6,2,2,1,1,0.120526307053699
6,2,2,2,1,0.276054697136705
6,3,1,1,1,0.205378334911403
6,3,1,2,1,0.106298135753662
6,3,2,1,1,0.279847071993701
6,3,2,2,1,0.11123488144858
6,4,1,1,1,0.0701839694659698
6,4,1,2,1,0.235887861219889
6,4,2,1,1,0.107444377435177
6,4,2,2,1,0.364898939526585
6,5,1,1,1,0.0698700680766632
6,5,1,2,1,0.134577978570468
6,5,2,1,1,0.260252034723743
6,5,2,2,1,0.149753599434307
6,6,1,1,1,0.104647971006569
6,6,1,2,1,0.137925596337327
6,6,2,1,1,0.094874931798928
6,6,2,2,1,0.104377228583107
6,7,1,1,1,0.159503825730195
6,7,1,2,1,0.114213559116695
6,7,2,1,1,0.128401948459281
6,7,2,2,1,0.268338153072868
6,8,1,1,1,0.24419152347692
6,8,1,2,1,0.274845704695131
6,8,2,1,1,0.124506265746417
6,8,2,2,1,0.192711210893832
6,9,1,1,1,0.292373745048737
6,9,1,2,1,0.220573453118491
6,9,2,1,1,0.244313358967347
6,9,2,2,1,0.142162131782511
6,10,1,1,1,0.292399015872676
6,10,1,2,1,0.160366308025302
6,10,2,1,1,0.225307339077158
6,10,2,2,1,0.143753877238538
6,11,1,1,1,0.0782089127523723
6,11,1,2,1,0.119784603675148
6,11,2,1,1,0.234221413002789
6,11,2,2,1,0.208322620010134
6,12,1,1,1,0.154481242442012
6,12,1,2,1,0.0973855899133863
6,12,2,1,1,0.216726547868217
6,12,2,2,1,0.0901022986975641
6,13,1,1,1,0.0948624396111452
6,13,1,2,1,0.23133667150705
6,13,2,1,1,0.00946390545109398
6,13,2,2,1,0.0909183960801466
6,14,1,1,1,0.0768491694750209
6,14,1,2,1,0.243039256289777
6,14,2,1,1,0.219381349008499
6,14,2,2,1,0.274001981822193
6,15,1,1,1,0.201056744126781
6,15,1,2,1,0.16282567982081
6,15,2,1,1,0.253656303938388
6,15,2,2,1,0.113187500225982
6,16,1,1,1,0.236745155699039
6,16,1,2,1,0.117850872208694
6,16,2,1,1,0.162030917499264
6,16,2,2,1,0.11649233586711
6,17,1,1,1,0.343245659455768
6,17,1,2,1,0.210988265534047
6,17,2,1,1,0.148206211663664
6,17,2,2,1,0.278611689062227
6,18,1,1,1,0.170503741861937
6,18,1,2,1,0.18190643499141
6,18,2,1,1,0.205621002306099
6,18,2,2,1,0.211276101939457
6,19,1,1,1,0.263857327142701
6,19,1,2,1,0.233204516169737
6,19,2,1,1,0.385203361023439
6,19,2,2,1,0.232394887958674
7,1,1,1,1,0.219214961327973
7,1,1,2,1,0.166674707387673
7,1,2,1,1,0.183193987066503
7,1,2,2,1,0.15492542143425
7,2,1,1,1,0.118387716482467
7,2,1,2,1,0.0479781617547135
7,2,2,1,1,0.127817971407323
7,2,2,2,1,0.127184057152636
7,3,1,1,1,0.164011838364961
7,3,1,2,1,0.162524989104529
7,3,2,1,1,0.0993543139072416
7,3,2,2,1,0.276002167154074
7,4,1,1,1,0.273632247126625
7,4,1,2,1,0.224188900428314
7,4,2,1,1,0.0758287266164256
7,4,2,2,1,0.229891323318705
7,5,1,1,1,0.0505148577218636
7,5,1,2,1,0.270328625793606
7,5,2,1,1,0.0802206681975128
7,5,2,2,1,0.271272515209697
7,6,1,1,1,0.15135863141416
7,6,1,2,1,0.185996042514701
7,6,2,1,1,0.151838450114932
7,6,2,2,1,0.212747663719162
7,7,1,1,1,0.124900324631417
7,7,1,2,1,0.246773794768334
7,7,2,1,1,0.159456857233512
7,7,2,2,1,0.347814658940461
7,8,1,1,1,0.171536856580008
7,8,1,2,1,0.0646570652158353
7,8,2,1,1,0.216787422648225
7,8,2,2,1,0.134158453397547
7,9,1,1,1,0.293978409705287
7,9,1,2,1,0.0916038291028096
7,9,2,1,1,0.114867824904219
7,9,2,2,1,0.040388741985034
7,10,1,1,1,0.214160388045116
7,10,1,2,1,0.0610377938041041
7,10,2,1,1,0.158105986485038
7,10,2,2,1,0.185259966661521
7,11,1,1,1,0.0991727280884287
7,11,1,2,1,0.35263434636951
7,11,2,1,1,0.221104037918263
7,11,2,2,1,0.258811008871416
7,12,1,1,1,0.210476461798756
7,12,1,2,1,0.13349145178656
7,12,2,1,1,0.279188413011918
7,12,2,2,1,0.060847364589818
7,13,1,1,1,0.253812222877165
7,13,1,2,1,0.321239205397251
7,13,2,1,1,0.0908965897067098
7,13,2,2,1,0.300306025751029
7,14,1,1,1,0.272613739907938
7,14,1,2,1,0.237175566291746
7,14,2,1,1,0.131320265500762
7,14,2,2,1,0.399719604981046
7,15,1,1,1,0.0344410885141858
7,15,1,2,1,0.105648154450335
7,15,2,1,1,0.191885971222405
7,15,2,2,1,0.160384052884862
7,16,1,1,1,0.103838693115635
7,16,1,2,1,0.101113587962651
7,16,2,1,1,0.160351485366355
7,16,2,2,1,0.0497672256890137
7,17,1,1,1,0.166393677733691
7,17,1,2,1,0.232733289313446
7,17,2,1,1,0.158388030623837
7,17,2,2,1,0.267319493548817
7,18,1,1,1,0.0560328730386137
7,18,1,2,1,0.0605697780333164
7,18,2,1,1,0.0760966454491917
7,18,2,2,1,0.120662913574791
7,19,1,1,1,0.133314264077403
7,19,1,2,1,0.21323134566961
7,19,2,1,1,0.224334166927223
7,19,2,2,1,0.223146341849672
8,1,1,1,1,0.0335124708376443
8,1,1,2,1,0.228848631030314
8,1,2,1,1,0.119741201033654
8,1,2,2,1,0.203997808382717
8,2,1,1,1,0.0740300039293831
8,2,1,2,1,0.0176837545245419
8,2,2,1,1,0.243313212845902
8,2,2,2,1,0.0881776274934459
8,3,1,1,1,0.341061295940087
8,3,1,2,1,0.295386616473288
8,3,2,1,1,0.284654628488745
8,3,2,2,1,0.191642934455896
8,4,1,1,1,0.101714369478528
8,4,1,2,1,0.198435012465623
8,4,2,1,1,0.293428460690967
8,4,2,2,1,0.36414122982823
8,5,1,1,1,0.277782642685419
8,5,1,2,1,0.223217140248109
8,5,2,1,1,0.13695747315288
8,5,2,2,1,0.339505014971829
8,6,1,1,1,0.197028795863693
8,6,1,2,1,0.159443987814592
8,6,2,1,1,0.371951048355811
8,6,2,2,1,0.0758162951419017
8,7,1,1,1,0.144395529784335
8,7,1,2,1,0.0403859826026908
8,7,2,1,1,0.276324230608849
8,7,2,2,1,0.209485390846284
8,8,1,1,1,0.333293723161795
8,8,1,2,1,0.072738880744508
8,8,2,1,1,0.107559327713579
8,8,2,2,1,0.153605528335664
8,9,1,1,1,0.0985687435506596
8,9,1,2,1,0.201227730930933
8,9,2,1,1,0.162097233467927
8,9,2,2,1,0.15573474287356
8,10,1,1,1,0.243226585317005
8,10,1,2,1,0.12070001227218
8,10,2,1,1,0.0862434960024422
8,10,2,2,1,0.0507592071466981
8,11,1,1,1,0.187558316034694
8,11,1,2,1,0.189659191771083
8,11,2,1,1,0.120417072136565
8,11,2,2,1,0.0971619734820054
8,12,1,1,1,0.101363295689036
8,12,1,2,1,0.0961309436688893
8,12,2,1,1,0.103079799382595
8,12,2,2,1,0.0598857321450791
8,13,1,1,1,0.146325376172465
8,13,1,2,1,0.164841526676931
8,13,2,1,1,0.21719730608178
8,13,2,2,1,0.286498887439508
8,14,1,1,1,0.0827359788618046
8,14,1,2,1,0.335138589057861
8,14,2,1,1,0.177291173907845
8,14,2,2,1,0.377773009682195
8,15,1,1,1,0.258181240743079
8,15,1,2,1,0.0883001943360563
8,15,2,1,1,0.0710335310464415
8,15,2,2,1,0.11565299831506
8,16,1,1,1,0.247952301876984
8,16,1,2,1,0.0321331858984159
8,16,2,1,1,0.137436627813302
8,16,2,2,1,0.0534000433452461
8,17,1,1,1,0.065491628845259
8,17,1,2,1,0.0575349630596953
8,17,2,1,1,0.19654831123477
8,17,2,2,1,0.214128622741788
8,18,1,1,1,0.322820697802041
8,18,1,2,1,0.274088424900601
8,18,2,1,1,0.179594313272358
8,18,2,2,1,0.263470783289309
8,19,1,1,1,0.0252210492234529
8,19,1,2,1,0.178531361788941
8,19,2,1,1,0.116214685736054
8,19,2,2,1,0.0857837737268511
9,1,1,1,1,0.135709792070294
9,1,1,2,1,0.0840408607985216
9,1,2,1,1,0.0746498491029175
9,1,2,2,1,0.0559007892914591
9,2,1,1,1,0.181277431828806
9,2,1,2,1,0.140673874020935
9,2,2,1,1,0.186247168475947
9,2,2,2,1,0.106286254108869
9,3,1,1,1,0.367459326004663
9,3,1,2,1,0.151691504826412
9,3,2,1,1,0.33503265819076
9,3,2,2,1,0.170002037590562
9,4,1,1,1,0.219816920118129
9,4,1,2,1,0.288352097537331
9,4,2,1,1,0.185080141887543
9,4,2,2,1,0.347740736160326
9,5,1,1,1,0.144604653335516
9,5,1,2,1,0.229485305337542
9,5,2,1,1,0.093673774862161
9,5,2,2,1,0.343280000672047
9,6,1,1,1,0.168996887751214
9,6,1,2,1,0.263614472541563
9,6,2,1,1,0.345568360442165
9,6,2,2,1,0.173954349304725
9,7,1,1,1,0.0797548745499938
9,7,1,2,1,0.394647297600597
9,7,2,1,1,0.262273087736226
9,7,2,2,1,0.124760641465017
9,8,1,1,1,0.147675932374319
9,8,1,2,1,0.126070436099015
9,8,2,1,1,0.137174722958569
9,8,2,2,1,0.123250286053682
9,9,1,1,1,0.112804915632043
9,9,1,2,1,0.173362431290809
9,9,2,1,1,0.079499408514641
9,9,2,2,1,0.139626690792343
9,10,1,1,1,0.272416882809655
9,10,1,2,1,0.238490679859589
9,10,2,1,1,0.15130259903715
9,10,2,2,1,0.0824415193110236
9,11,1,1,1,0.261695286211528
9,11,1,2,1,0.120386203434966
9,11,2,1,1,0.194968210708016
9,11,2,2,1,0.0789924853767538
9,12,1,1,1,0.180806794422866
9,12,1,2,1,0.124808963368421
9,12,2,1,1,0.18479098085022
9,12,2,2,1,0.0832094672734029
9,13,1,1,1,0.0566135728105581
9,13,1,2,1,0.168559139326239
9,13,2,1,1,0.251417526684488
9,13,2,2,1,0.276902222576906
9,14,1,1,1,0.218366165711203
9,14,1,2,1,0.500043174775298
9,14,2,1,1,0.2290012062863
9,14,2,2,1,0.482185429635892
9,15,1,1,1,0.18397888781219
9,15,1,2,1,0.140450558144972
9,15,2,1,1,0.133952754450447
9,15,2,2,1,0.169751952542722
9,16,1,1,1,0.194627687506712
9,16,1,2,1,0.047189684864316
9,16,2,1,1,0.158754946927987
9,16,2,2,1,0.0764582428617332
9,17,1,1,1,0.113708720794972
9,17,1,2,1,0.295961636456126
9,17,2,1,1,0.144601579480868
9,17,2,2,1,0.341631679103447
9,18,1,1,1,0.135929982378092
9,18,1,2,1,0.239870386783103
9,18,2,1,1,0.255002129200527
9,18,2,2,1,0.284427679310242
9,19,1,1,1,0.349943243803114
9,19,1,2,1,0.128959531350456
9,19,2,1,1,0.192387613750779
9,19,2,2,1,0.0657341267889541
10,1,1,1,1,0.181255383367192
10,1,1,2,1,0.181399176041548
10,1,2,1,1,0.0719509369182054
10,1,2,2,1,0.263210727246323
10,2,1,1,1,0.226127120271902
10,2,1,2,1,0.176257177139612
10,2,2,1,1,0.23290190748536
10,2,2,2,1,0.0809853144147575
10,3,1,1,1,0.143592735455549
10,3,1,2,1,0.125080285982131
10,3,2,1,1,0.549729144397601
10,3,2,2,1,0.356838470916808
10,4,1,1,1,0.0498094566582296
10,4,1,2,1,0.424752481799426
10,4,2,1,1,0.162582751784592
10,4,2,2,1,0.345091315079575
10,5,1,1,1,0.171979603715217
10,5,1,2,1,0.154727791657912
10,5,2,1,1,0.0530183988255534
10,5,2,2,1,0.228508562540415
10,6,1,1,1,0.182049646362853
10,6,1,2,1,0.0528186560425498
10,6,2,1,1,0.117827663185347
10,6,2,2,1,0.12429430476345
10,7,1,1,1,0.0884740119903629
10,7,1,2,1,0.145540170661784
10,7,2,1,1,0.17003922305174
10,7,2,2,1,0.237975561583691
10,8,1,1,1,0.232045547626066
10,8,1,2,1,0.248450984947668
10,8,2,1,1,0.136861028636094
10,8,2,2,1,0.0860241197962764
10,9,1,1,1,0.11492010778928
10,9,1,2,1,0.190666129374133
10,9,2,1,1,0.12068086922982
10,9,2,2,1,0.158966879977954
10,10,1,1,1,0.342840927962762
10,10,1,2,1,0.181649950083267
10,10,2,1,1,0.0606228059057106
10,10,2,2,1,0.111458395927997
10,11,1,1,1,0.0782630211690362
10,11,1,2,1,0.27668092479293
10,11,2,1,1,0.263924324655038
10,11,2,2,1,0.0722030840613234
10,12,1,1,1,0.123585937823279
10,12,1,2,1,0.126466893940649
10,12,2,1,1,0.169405292223761
10,12,2,2,1,0.0807561799579982
10,13,1,1,1,0.186741860898825
10,13,1,2,1,0.0831601857910886
10,13,2,1,1,0.152819083544459
10,13,2,2,1,0.190768697783341
10,14,1,1,1,0.0805530577886786
10,14,1,2,1,0.171588264896983
10,14,2,1,1,0.16866796268952
10,14,2,2,1,0.422163846647591
10,15,1,1,1,0.187909772047647
10,15,1,2,1,0.192433607015572
10,15,2,1,1,0.216617724621499
10,15,2,2,1,0.0564813399618221
10,16,1,1,1,0.384552339788259
10,16,1,2,1,0.118956562770163
10,16,2,1,1,0.0749933306449834
10,16,2,2,1,0.105202766562004
10,17,1,1,1,0.201990424756791
10,17,1,2,1,0.147838711109264
10,17,2,1,1,0.119956728961333
10,17,2,2,1,0.145194210001195
10,18,1,1,1,0.0657193977133757
10,18,1,2,1,0.173116859746951
10,18,2,1,1,0.21687115742178
10,18,2,2,1,0.188295597874887
10,19,1,1,1,0.215704618410628
10,19,1,2,1,0.189270258918683
10,19,2,1,1,0.171049608009851
10,19,2,2,1,0.1866598350789
11,1,1,1,1,0.0952079495476335
11,1,1,2,1,0.0888976556524647
11,1,2,1,1,0.145380807543637
11,1,2,2,1,0.054826429809219
11,2,1,1,1,0.232522282438912
11,2,1,2,1,0.164299743116733
