"session_i","session_j","run_i","run_j","component","PLV"
1,1,1,1,1,0.0717736386721192
1,1,1,2,1,0.118064919521345
1,1,2,1,1,0.174940373616584
1,1,2,2,1,0.135130598752398
1,2,1,1,1,0.233642229456198
1,2,1,2,1,0.147146487270594
1,2,2,1,1,0.147974173252777
1,2,2,2,1,0.132921517116879
1,3,1,1,1,0.0761500253988732
1,3,1,2,1,0.161698244993765
1,3,2,1,1,0.0876009112717074
1,3,2,2,1,0.154883467983671
1,4,1,1,1,0.235658342628146
1,4,1,2,1,0.312576336300102
1,4,2,1,1,0.217352844145739
1,4,2,2,1,0.0404263571931788
1,5,1,1,1,0.261590879848598
1,5,1,2,1,0.282179869967444
1,5,2,1,1,0.0438101923993231
1,5,2,2,1,0.412167794925304
1,6,1,1,1,0.307287419158757
1,6,1,2,1,0.0936815599256622
1,6,2,1,1,0.370659553550144
1,6,2,2,1,0.190758377719937
1,7,1,1,1,0.234764112122008
1,7,1,2,1,0.354520475546446
1,7,2,1,1,0.153549092773772
1,7,2,2,1,0.187632294665673
1,8,1,1,1,0.0422063343621516
1,8,1,2,1,0.218534062274247
1,8,2,1,1,0.0715778546503255
1,8,2,2,1,0.103217791104086
1,9,1,1,1,0.143769412269503
1,9,1,2,1,0.0660347776592278
1,9,2,1,1,0.255174498864399
1,9,2,2,1,0.136884188411005
1,10,1,1,1,0.211764605428202
1,10,1,2,1,0.0693325113624279
1,10,2,1,1,0.0735727004655083
1,10,2,2,1,0.0419900532976873
1,11,1,1,1,0.237796237399713
1,11,1,2,1,0.246018588527318
1,11,2,1,1,0.162124077511509
1,11,2,2,1,0.325858602537451
1,12,1,1,1,0.122865453110705
1,12,1,2,1,0.12824894530274
1,12,2,1,1,0.0388809841252729
1,12,2,2,1,0.167734475977474
1,13,1,1,1,0.120273630452571
1,13,1,2,1,0.354252594045411
1,13,2,1,1,0.0581704600016995
1,13,2,2,1,0.206758508993209
1,14,1,1,1,0.295246264306816
1,14,1,2,1,0.250661952307615
1,14,2,1,1,0.295545049295469
1,14,2,2,1,0.171946464585911
